fecha,id_kpi,nivel,valor,unidad,tipo_dato
8/6/2024 0:00,AGUA_SUPRESION_POLVO_STMG_CV005,MTD,0,l/s,real
8/6/2024 0:00,ARENAS_COMPACTADAS,FWTD,49.28190806,kt,plan mensual
8/6/2024 0:00,BATIMETRIA_MAURO,YTD,1.277070606,hm3,real
8/6/2024 0:00,DISTANCIA_MEDIA,MTD,0.993359548,Km,real
8/6/2024 0:00,DISTANCIA_MEDIA,YTD,127.30755,Km,real
8/6/2024 0:00,EXTRACCION_MINA_F12N,YTD,2260.02166,kt,real
8/6/2024 0:00,MOVIMIENTO_F12N,DAY,7.756039776,kt,real
8/6/2024 0:00,MOVIMIENTO_MINA,DAYM,187.8503579,kt,plan mensual
8/6/2024 0:00,PLANTA_CONCENTRADORA_LEY_CU,MTDS,0.369766087,%,plan semanal
8/6/2024 0:00,PLANTA_CONCENTRADORA_LEY_MO,DAY,169.6858338,ppm,real
8/6/2024 0:00,PUERTO_FINO_MOLY_ENV_PAGABLE,HFWTD,69.62333661,tmf,real
8/6/2024 0:00,PUERTO_FINO_MOLY_ENV_PAGABLE,WTD,48.12324657,tmf,plan semanal
8/6/2024 12:10,MP10_CHACAY,MINUTES,0,ug/m3N,real
8/6/2024 19:30,MP10_HOTELMINA,MINUTES,0.611087173,ug/m3N,real
8/6/2024 19:40,MP10_HOTELMINA,MINUTES,26.45183719,ug/m3N,real
8/7/2024 0:00,AGUA_SUPRESION_POLVO_STMG_CV007,MTD,0,l/s,real
8/7/2024 0:00,ARENAS_PRODUCIDAS,FWTD,35.09719724,kt,plan mensual
8/7/2024 0:00,CAPTACION_TOTAL,7LD,440.7093467,l/s,plan semanal
8/7/2024 0:00,CONCENTRADORA_COEFICIENTE_DE_MARCHA,DAY,0,%,real
8/7/2024 0:00,DF_PALA_ELECTRICA_03,WTD,0,%,real
8/7/2024 0:00,PUERTO_CU_FINO_FILTRADO_PAGABLE,BMTD,3337.922256,tmf,plan anual
8/7/2024 0:00,RECIRCULACION_DE_PEBBLES,MTD,39.14002727,tph,real
8/7/2024 0:00,RENDIMIENTO,YTD,224787.1028,tph,real
8/7/2024 0:00,TRANSPORTADO_STC,7LD,22243.77889,t,real
8/7/2024 0:00,VELOCIDAD_CAEX,WTD,8.037665635,km/h,plan semanal
8/7/2024 7:20,MP10_HOTELMINA,MINUTES,17.19389452,ug/m3N,real
8/8/2024 0:00,DF_PALA_ELECTRICA_04,MTD,0,%,real
8/8/2024 0:00,DISTANCIA_EQUIVALENTE,DAY,4.013868149,Km,plan semanal
8/8/2024 0:00,MOVIMIENTO_F11W,7LD,1004.755554,kt,plan semanal
8/8/2024 0:00,PLANTA_CONCENTRADORA_LEY_MO_REAL,7LD,0.002148806,ppm,real
8/8/2024 0:00,PLANTA_CONCENTRADORA_TRATAMIENTO,BMTDS,79.74267838,kt,null
8/8/2024 0:00,PLANTA_CONCENTRADORA_TRATAMIENTO_LINEA_4,MTD,191.7802874,kt,plan mensual
8/8/2024 0:00,RECIRCULACION_MAURO,HFWTD,4840.385404,l/s,real
8/8/2024 0:00,REMANEJO_DM,DAYY,18.47392037,kt,plan anual
8/8/2024 23:50,MP10_CHACAY,MINUTES,3.127759101,ug/m3N,real
8/9/2024 0:00,COBRE_FINO_CONTENIDO_FILTRADO,DAY,0.251766414,Ktms,plan semanal
8/9/2024 0:00,CONCENTRADO_MO_PRODUCIDO,WTDM,54.61456394,Ktms,plan mensual
8/9/2024 0:00,EXTRACCION_MINA_F9SE,7LDM,556.3042845,kt,plan mensual
8/9/2024 0:00,MOVIMIENTO_MINA,FWTDS,358.4113829,kt,plan semanal
8/9/2024 0:00,MOVIMIENTO_MINA,YTD,76239.34532,kt,plan anual
8/9/2024 0:00,PLANTA_CONCENTRADORA_TRATAMIENTO,FWTD,51.2640187,kt,plan mensual
8/9/2024 7:10,MP10_CHACAY,MINUTES,6.3634766,ug/m3N,real
8/10/2024 0:00,AGUA_EN_MINERAL,7LDM,19.43337613,l/s,plan mensual
8/10/2024 0:00,CAMPAMENTO_ESTERO_CHACAY,YTDSB,0,l/s,real
8/10/2024 0:00,EXTRACCION_MINA_F10N,MTD,177.1498314,kt,plan mensual
8/10/2024 0:00,PLANTA_CONCENTRADORA_LEY_CU,DAYYS,0.057534512,%,null
8/10/2024 0:00,PLANTA_CONCENTRADORA_LEY_CU,YTDSB,0.379337479,%,real
8/10/2024 0:00,PLANTA_CONCENTRADORA_MO_FINO_PRODUCIDO_PROY,7LD,36.22463612,tmf,real
8/10/2024 0:00,POT_2,YTD,0.385967666,inch,real
8/10/2024 0:00,PRODUCCION_MOLIBDENO_RECUPERACION_GLOBAL_ST,7LDM,513.0092376,%,plan mensual
8/10/2024 0:00,RECUPERACION_TOTAL_DE_MOLIBDENO_NUMERADOR,HFWTD,1.84E+13,kt,plan mensual
8/10/2024 0:00,TOTAL_FUENTES,DAYM,836.7689767,l/s,plan mensual
8/10/2024 16:10,MP10_HOTELMINA,MINUTES,0,ug/m3N,real
8/11/2024 0:00,AGUA_OTROS_USOS,MTD,196.5554297,l/s,real
8/11/2024 0:00,AGUA_SUPRESION_POLVO_STMG_CV007,HFWTD,0,l/s,real
8/11/2024 0:00,CAMPAMENTO,7LD,0,l/s,real
8/11/2024 0:00,CAPTACION_SIST_CHOAPA,MTDS,197.0947312,l/s,plan semanal
8/11/2024 0:00,COBRE_FINO_PRODUCIDO,FWTD,0,tmf,real
8/11/2024 0:00,CONCENTRADO_FILTRADO,7LD,11870.96982,t,real
8/11/2024 0:00,EXTRACCION_MINA_F12N,FWTD,28.18009797,kt,real
8/11/2024 0:00,MOVIMIENTO_F9SE,MTD,116.2917411,kt,plan mensual
8/11/2024 0:00,PLANTA_CONCENTRADORA_TRATAMIENTO_LINEA_4,YTDSB,58.69867883,kt,real
8/11/2024 0:00,PUERTO_FINO_MOLY_ENV_PAGABLE,MTD,166.3027252,tmf,plan mensual
8/11/2024 14:00,MP10_HOTELMINA,MINUTES,0,ug/m3N,real
8/12/2024 0:00,AXB,7LD,11.88946846,tbd,plan semanal
8/12/2024 0:00,AXB,HFWTD,17.23065152,tbd,plan mensual
8/12/2024 0:00,CAMPAMENTO_EL_QUILLAY,FWTD,0,l/s,real
8/12/2024 0:00,CAMPAMENTO_HUALTATAS,YTDSB,0,l/s,real
8/12/2024 0:00,CONSUMO_AGUA_FRESCA_A_PROCESO,DAY,341.2080552,l/s,plan semanal
8/12/2024 0:00,DF_PALA_ELECTRICA_03,MTD,0,%,real
8/12/2024 0:00,LEY_CONCENTRADO_CU,MTDS,0.996457153,%,plan semanal
8/12/2024 0:00,LEY_CU_MINA_CONCILIADO,WTD,0.157300881,%,plan semanal
8/12/2024 0:00,PLANTA_CONCENTRADORA_RECUPERACION_CU,7LD,77.89071512,%,real
8/12/2024 0:00,PRODUCCION_MOLIBDENO_RECUPERACION_COLEC_ST,MTD,180.6728728,%,plan mensual
8/12/2024 0:00,PUERTO_CU_FINO_FILTRADO_PAGABLE,MTD,3681.7355,tmf,real
8/13/2024 0:00,COEFICIENTE_DE_MARCHA_LINEA_4,HFWTD,20.96454158,%,plan mensual
8/13/2024 0:00,CONCENTRADO_PRODUCIDO,WTDM,1366.08177,t,plan mensual
8/13/2024 0:00,PRODUCCION_DE_MO_FINO_PAGABLE,MTD,227.7446189,Ton,plan mensual
8/13/2024 0:00,PRODUCCION_MOLIBDENO_RECUPERACION_SELEC_ST,MTD,316.7250353,%,plan mensual
8/13/2024 0:00,SM_DISPONIBILIDAD_BOMBAS_GEHO,7LDM,0,%,plan mensual
8/13/2024 0:00,TOTAL_FUENTES,MTD,1307.557967,l/s,plan mensual
8/16/2024 0:00,SM_DISPONIBILIDAD_BOMBAS_GEHO,DAYM,0,%,plan mensual
8/18/2024 0:00,MAKE_UP_AGUA_FRESCA,DAY,0,mt3/t,plan semanal
8/18/2024 0:00,ONZAS_DE_ORO_FILTRADAS_PAGABLE_OZ,DAYM,32.51288322,oz,plan mensual
8/19/2024 0:00,LEY_CONCENTRADO_CU,DAYM,4.146042866,%,plan mensual
8/19/2024 0:00,PORC_SOLIDOS_STC,DAYM,53.76011155,%,plan mensual
8/21/2024 0:00,DRENAJE_SECTOR_T_QUILLAYES,DAYM,59.95103075,l/s,plan mensual
8/24/2024 0:00,AGUA_EN_MINERAL,DAYM,18.91577636,l/s,plan mensual
8/24/2024 0:00,DRENAJE_SECTOR_T_QUILLAYES,DAYM,34.1695619,l/s,plan mensual
8/26/2024 0:00,CHANCADO,DAY,0,kt,plan semanal
8/26/2024 0:00,PLANTA_CONCENTRADORA_MO_FINO_PRODUCIDO,DAYM,0.706543777,tmf,plan mensual
8/1/2024 0:00,ARENAS_PRODUCIDAS,DAYY,12.50272448,kt,plan anual
